DATE 	LAT 	LON 	magni 	DEPTHkm 	REGION
11-JUN-2012 09:50:57 	-37.08 	-73.57 	4.5 	17.9 	NEAR COAST OF CENTRAL CHILE
11-JUN-2012 08:32:52 	36.31 	69.39 	4.1 	10.0 	HINDU KUSH REGION, AFGHANISTAN
11-JUN-2012 08:20:37 	17.35 	146.29 	4.6 	97.8 	MARIANA ISLANDS
11-JUN-2012 05:29:14 	36.08 	69.32 	5.1 	31.3 	HINDU KUSH REGION, AFGHANISTAN
11-JUN-2012 05:02:17 	36.05 	69.30 	5.4 	48.9 	HINDU KUSH REGION, AFGHANISTAN
10-JUN-2012 23:51:26 	-5.81 	130.04 	4.6 	191.2 	BANDA SEA
10-JUN-2012 22:45:43 	32.10 	-115.76 	4.0 	9.1 	CALIF.-BAJA CALIF. BORDER REGION
10-JUN-2012 19:25:52 	-20.26 	-69.19 	4.7 	89.2 	NORTHERN CHILE
10-JUN-2012 17:11:30 	30.92 	130.84 	4.6 	76.2 	KYUSHU, JAPAN
10-JUN-2012 16:43:40 	30.36 	132.01 	4.0 	22.0 	SOUTHEAST OF SHIKOKU, JAPAN
10-JUN-2012 15:21:40 	6.79 	-73.20 	4.2 	155.6 	NORTHERN COLOMBIA
10-JUN-2012 15:12:08 	4.75 	96.11 	4.7 	19.5 	NORTHERN SUMATERA, INDONESIA
10-JUN-2012 13:32:55 	18.69 	145.62 	5.0 	155.4 	MARIANA ISLANDS
10-JUN-2012 12:49:36 	36.41 	28.91 	4.9 	39.0 	DODECANESE ISLANDS
10-JUN-2012 12:44:16 	36.42 	28.88 	5.8 	35.0 	DODECANESE ISLANDS
10-JUN-2012 12:12:34 	-27.65 	66.02 	4.4 	10.0 	INDIAN OCEAN TRIPLE JUNCTION
10-JUN-2012 10:55:34 	-17.77 	-178.67 	4.3 	543.1 	FIJI ISLANDS REGION
10-JUN-2012 09:36:35 	2.88 	125.44 	4.7 	152.3 	TALAUD ISLANDS, INDONESIA
10-JUN-2012 09:28:15 	20.03 	121.53 	4.7 	44.9 	PHILIPPINE ISLANDS REGION
10-JUN-2012 08:38:06 	39.23 	141.13 	4.7 	35.0 	EASTERN HONSHU, JAPAN
10-JUN-2012 08:34:56 	-7.29 	126.13 	4.6 	456.2 	BANDA SEA
10-JUN-2012 08:18:04 	-55.94 	-27.55 	5.1 	110.6 	SOUTH SANDWICH ISLANDS REGION
10-JUN-2012 07:48:53 	-4.90 	144.31 	4.5 	122.8 	NEAR N COAST OF NEW GUINEA, PNG.
10-JUN-2012 07:25:59 	4.02 	128.78 	4.4 	69.7 	NORTH OF HALMAHERA, INDONESIA
10-JUN-2012 06:23:29 	23.85 	121.67 	4.8 	43.1 	TAIWAN
10-JUN-2012 04:21:53 	36.26 	141.03 	4.1 	35.0 	NEAR EAST COAST OF HONSHU, JAPAN
10-JUN-2012 03:29:40 	36.24 	71.03 	4.5 	107.0 	AFGHANISTAN-TAJIKISTAN BORD REG.
10-JUN-2012 01:39:37 	-57.85 	-25.41 	4.3 	86.3 	SOUTH SANDWICH ISLANDS REGION
09-JUN-2012 22:05:30 	2.50 	92.37 	4.2 	10.0 	OFF W COAST OF NORTHERN SUMATERA
09-JUN-2012 21:54:19 	24.46 	122.32 	5.1 	75.8 	TAIWAN REGION
09-JUN-2012 21:00:18 	24.57 	122.25 	5.9 	70.0 	TAIWAN REGION
09-JUN-2012 20:43:48 	38.23 	147.07 	4.5 	14.9 	OFF EAST COAST OF HONSHU, JAPAN
09-JUN-2012 16:30:55 	0.56 	122.34 	4.6 	120.7 	MINAHASSA PENINSULA, SULAWESI
09-JUN-2012 14:23:18 	48.82 	154.95 	5.3 	32.4 	KURIL ISLANDS
09-JUN-2012 12:02:46 	51.72 	159.20 	5.0 	15.6 	OFF EAST COAST OF KAMCHATKA
09-JUN-2012 09:53:51 	-60.60 	-26.43 	5.1 	10.0 	SOUTH SANDWICH ISLANDS REGION
09-JUN-2012 08:49:30 	-2.99 	127.67 	5.1 	38.0 	CERAM SEA
09-JUN-2012 08:32:48 	-11.39 	116.28 	4.2 	11.1 	SOUTH OF SUMBAWA, INDONESIA
